sample_id,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,luminance_mean,luminance_std,saturation_proxy,sharpness_proxy,format
000001.png,948,549,1.726775956284153,0.55659914,0.45220077,0.3047284,0.14725424,0.15449202,0.1551081,0.4636929992994434,0.1513227217131633,0.25259554,0.0144797254707031,
000002.png,798,618,1.2912621359223302,0.57639927,0.4902236,0.40574643,0.17163414,0.2111367,0.24264234,0.5024466984758518,0.2026801161347275,0.19758473,0.0175896225833929,
000003.png,921,678,1.3584070796460177,0.58497125,0.55785245,0.53805465,0.14249305,0.14257945,0.14335449,0.5622202551837974,0.1421129449123123,0.06197902,0.0137468725711052,
000004.png,306,285,1.0736842105263158,0.452517,0.28419515,0.20287059,0.11071499,0.07016191,0.053849585,0.3140184120616785,0.0767231226884245,0.24963638,0.0215376348517879,
000005.png,230,387,0.5943152454780362,0.66457963,0.4813411,0.3092836,0.16727957,0.14573602,0.10984058,0.5079138779165151,0.1460783211508578,0.35511085,0.0169462034326318,
000006.png,323,458,0.7052401746724891,0.4286788,0.312792,0.25460625,0.17689587,0.14766167,0.15172988,0.3334741266592831,0.1527518636636097,0.17502552,0.0269116425822795,
000007.png,918,675,1.36,0.5252378,0.36229494,0.28796625,0.16360517,0.2078651,0.2131152,0.3912633052042981,0.1964667432358451,0.23993091,0.0104879891027808,
000008.png,494,666,0.7417417417417418,0.29449582,0.2701498,0.2568548,0.3553827,0.34663898,0.33275908,0.2738265813864621,0.3444409855712278,0.059703704,0.0086894831202726,
000009.png,438,387,1.131782945736434,0.5636435,0.4579654,0.35966542,0.25811967,0.2845759,0.30094537,0.4733556597389414,0.2778005520935837,0.20387965,0.0144656269924898,
000010.png,482,654,0.7370030581039755,0.614191,0.53724355,0.4303628,0.11328644,0.14131932,0.16454898,0.5457227720398667,0.135009094465102,0.2037077,0.0165514969937515,
000011.png,397,398,0.9974874371859296,0.47133207,0.35666996,0.3219835,0.22041799,0.23323879,0.22866231,0.3786439783278374,0.2282922602856806,0.15017052,0.0251744912004142,
000012.png,372,305,1.219672131147541,0.68594086,0.41793036,0.20768608,0.09408448,0.07887844,0.05941722,0.4599366913868301,0.0800995903050762,0.47778553,0.0078871906079089,
000013.png,500,680,0.7352941176470589,0.69138646,0.6625805,0.628947,0.20644267,0.24671729,0.27082682,0.6667719546943474,0.2390151906648981,0.073625974,0.0122317393644967,
000014.png,345,454,0.7599118942731278,0.59639263,0.4170759,0.25257456,0.14406745,0.13679145,0.11718087,0.4435259697978502,0.1318886342710617,0.34353736,0.0598439395965806,
000015.png,313,222,1.40990990990991,0.4502921,0.3266889,0.28099242,0.16597001,0.13287508,0.1235122,0.3496285105282133,0.1362418783923544,0.18223938,0.0430833442294602,
000016.png,846,596,1.419463087248322,0.54634106,0.37010643,0.25407884,0.07084629,0.07094735,0.08265227,0.3990816388820615,0.0704597144290031,0.29249805,0.0113097785894398,
000017.png,687,686,1.001457725947522,0.635781,0.59417444,0.56169885,0.24152876,0.22513193,0.2011971,0.6007717417743891,0.2259268431550732,0.103723735,0.0264579205530377,
000018.png,690,690,1.0,0.54360586,0.46391433,0.38091034,0.25111493,0.21744637,0.16754298,0.474466579236445,0.2204170208727544,0.1652405,0.0254706813221894,
000019.png,437,677,0.6454948301329394,0.5584181,0.5085392,0.440419,0.16188104,0.16578652,0.16786858,0.514117679364909,0.1642071691881929,0.12251874,0.0337393315789333,
000020.png,342,514,0.6653696498054474,0.56454563,0.4018898,0.31802917,0.080117926,0.061709736,0.059574317,0.430714668005679,0.0632601087229996,0.246005,0.018351559502306,
000021.png,326,462,0.7056277056277056,0.49474224,0.38490793,0.35434026,0.13234894,0.12486237,0.13591127,0.4065909256283748,0.1259261403486882,0.14652665,0.0245779732024839,
000022.png,492,684,0.7192982456140351,0.62755024,0.6057889,0.56578887,0.15477909,0.15906653,0.15293108,0.6075355271587827,0.1573431967220568,0.06935672,0.0222266305305778,
000023.png,494,587,0.8415672913117547,0.682923,0.6390367,0.57347775,0.122686945,0.14340514,0.14268042,0.643812701779329,0.1371218236844349,0.123115964,0.0274388670909578,
000024.png,494,394,1.2538071065989849,0.6003075,0.5412181,0.5009504,0.092147835,0.116840795,0.11806102,0.550611180817165,0.1110389117622885,0.102693185,0.0230158673027835,
000025.png,494,563,0.8774422735346359,0.5567025,0.50184876,0.4421189,0.1555691,0.15357238,0.14644128,0.508906269122993,0.1527317466215164,0.120726764,0.0214822519614274,
000026.png,683,693,0.9855699855699857,0.613691,0.401772,0.2866883,0.15337645,0.19185463,0.20424145,0.4383734478818942,0.1822342168763578,0.32760945,0.0169327871454822,
000027.png,468,376,1.24468085106383,0.6357395,0.5862292,0.5136216,0.23119782,0.25071537,0.22410998,0.5914502312579306,0.2436274387274368,0.12946577,0.0226370060573767,
000028.png,431,689,0.625544267053701,0.5952063,0.5407458,0.4618149,0.11218231,0.1160927,0.11891465,0.5468207811865575,0.1144070197328585,0.13450299,0.0384758474568646,
000029.png,497,678,0.7330383480825958,0.73255146,0.5600469,0.41386425,0.115128875,0.092299275,0.07277325,0.5863235208033071,0.0940446325354874,0.31907016,0.0337287045266975,
000030.png,400,655,0.6106870229007634,0.5686612,0.42504027,0.36943612,0.24871713,0.264898,0.27967247,0.4514952944852911,0.2599041028926747,0.20018378,0.0274572013390911,
000031.png,501,687,0.7292576419213974,0.59043324,0.4952687,0.38259843,0.13339372,0.14961757,0.16934894,0.5072616114308423,0.1451886323946452,0.21235651,0.0283206131416332,
